id,code,description
1,A00,Cholera
2,A00.9,Cholera and unspecified
3,A01,Typhoid and paratyphoid fevers
4,A01.0,Typhoid fever
5,A01.00,Typhoid fever and unspecified
6,A01.01,Typhoid meningitis
7,A01.02,Typhoid fever with heart involvement
8,A01.03,Typhoid pneumonia
9,A01.04,Typhoid arthritis
10,A01.05,Typhoid osteomyelitis
11,A01.09,Typhoid fever with other complications
12,A01.1,Paratyphoid fever A
13,A01.2,Paratyphoid fever B
14,A01.3,Paratyphoid fever C
15,A01.4,Paratyphoid fever and unspecified
16,A02,Other salmonella infections
17,A02.0,Salmonella enteritis
18,A02.1,Salmonella sepsis
19,A02.2,Localized salmonella infections
20,A02.20,Localized salmonella infection and unspecified
21,A02.21,Salmonella meningitis
22,A02.22,Salmonella pneumonia
23,A02.23,Salmonella arthritis
24,A02.24,Salmonella osteomyelitis
25,A02.25,Salmonella pyelonephritis
26,A02.29,Salmonella with other localized infection
27,A02.8,Other specified salmonella infections
28,A02.9,Salmonella infection and unspecified
29,A03,Shigellosis
30,A03.0,Shigellosis due to Shigella dysenteriae
31,A03.1,Shigellosis due to Shigella flexneri
32,A03.2,Shigellosis due to Shigella boydii
33,A03.3,Shigellosis due to Shigella sonnei
34,A03.8,Other shigellosis
35,A03.9,Shigellosis and unspecified
36,A04,Other bacterial intestinal infections
37,A04.0,Enteropathogenic Escherichia coli infection
38,A04.1,Enterotoxigenic Escherichia coli infection
39,A04.2,Enteroinvasive Escherichia coli infection
40,A04.3,Enterohemorrhagic Escherichia coli infection
41,A04.4,Other intestinal Escherichia coli infections
42,A04.5,Campylobacter enteritis
43,A04.6,Enteritis due to Yersinia enterocolitica
44,A04.7,Enterocolitis due to Clostridium difficile
45,A04.8,Other specified bacterial intestinal infections
46,A04.9,Bacterial intestinal infection and unspecified
47,A05,Other bacterial foodborne intoxications and not elsewhere classified
48,A05.0,Foodborne staphylococcal intoxication
49,A05.1,Botulism food poisoning
50,A05.3,Foodborne Vibrio parahaemolyticus intoxication
51,A05.4,Foodborne Bacillus cereus intoxication
52,A05.5,Foodborne Vibrio vulnificus intoxication
53,A05.8,Other specified bacterial foodborne intoxications
54,A05.9,Bacterial foodborne intoxication and unspecified
55,A06,Amebiasis
56,A06.0,Acute amebic dysentery
57,A06.1,Chronic intestinal amebiasis
58,A06.2,Amebic nondysenteric colitis
59,A06.3,Ameboma of intestine
60,A06.4,Amebic liver abscess
61,A06.5,Amebic lung abscess
62,A06.6,Amebic brain abscess
63,A06.7,Cutaneous amebiasis
64,A06.8,Amebic infection of other sites
65,A06.81,Amebic cystitis
66,A06.82,Other amebic genitourinary infections
67,A06.89,Other amebic infections
68,A06.9,Amebiasis and unspecified
69,A07,Other protozoal intestinal diseases
70,A07.0,Balantidiasis
71,A07.2,Cryptosporidiosis
72,A07.3,Isosporiasis
73,A07.4,Cyclosporiasis
74,A07.8,Other specified protozoal intestinal diseases
75,A07.9,Protozoal intestinal disease and unspecified
76,A08,Viral and other specified intestinal infections
77,A08.0,Rotaviral enteritis
78,A08.1,Acute gastroenteropathy due to Norwalk agent and other small round viruses
79,A08.11,Acute gastroenteropathy due to Norwalk agent
80,A08.19,Acute gastroenteropathy due to other small round viruses
81,A08.2,Adenoviral enteritis
82,A08.3,Other viral enteritis
83,A08.31,Calicivirus enteritis
84,A08.32,Astrovirus enteritis
85,A08.39,Other viral enteritis
86,A08.4,Viral intestinal infection and unspecified
87,A08.8,Other specified intestinal infections
88,A09,Infectious gastroenteritis and colitis and unspecified
89,A15,Respiratory tuberculosis
90,A15.0,Tuberculosis of lung
91,A15.4,Tuberculosis of intrathoracic lymph nodes
92,A15.5,Tuberculosis of larynx and trachea and bronchus
93,A15.6,Tuberculous pleurisy
94,A15.7,Primary respiratory tuberculosis
95,A15.8,Other respiratory tuberculosis
96,A15.9,Respiratory tuberculosis unspecified
97,A17,Tuberculosis of nervous system
98,A17.0,Tuberculous meningitis
99,A17.1,Meningeal tuberculoma
100,A17.8,Other tuberculosis of nervous system
101,A17.81,Tuberculoma of brain and spinal cord
102,A17.82,Tuberculous meningoencephalitis
103,A17.83,Tuberculous neuritis
104,A17.89,Other tuberculosis of nervous system
105,A17.9,Tuberculosis of nervous system and unspecified
106,A18,Tuberculosis of other organs
107,A18.0,Tuberculosis of bones and joints
108,A18.01,Tuberculosis of spine
109,A18.02,Tuberculous arthritis of other joints
110,A18.03,Tuberculosis of other bones
111,A18.09,Other musculoskeletal tuberculosis
112,A18.1,Tuberculosis of genitourinary system
113,A18.10,Tuberculosis of genitourinary system and unspecified
114,A18.11,Tuberculosis of kidney and ureter
115,A18.12,Tuberculosis of bladder
116,A18.13,Tuberculosis of other urinary organs
117,A18.14,Tuberculosis of prostate
118,A18.15,Tuberculosis of other male genital organs
119,A18.16,Tuberculosis of cervix
120,A18.17,Tuberculous female pelvic inflammatory disease
121,A18.18,Tuberculosis of other female genital organs
122,A18.2,Tuberculous peripheral lymphadenopathy
123,A18.3,Tuberculosis of intestines and peritoneum and mesenteric glands
124,A18.31,Tuberculous peritonitis
125,A18.32,Tuberculous enteritis
126,A18.39,Retroperitoneal tuberculosis
127,A18.4,Tuberculosis of skin and subcutaneous tissue
128,A18.5,Tuberculosis of eye
129,A18.50,Tuberculosis of eye and unspecified
130,A18.51,Tuberculous episcleritis
131,A18.52,Tuberculous keratitis
132,A18.53,Tuberculous chorioretinitis
133,A18.54,Tuberculous iridocyclitis
134,A18.59,Other tuberculosis of eye
135,A18.6,Tuberculosis of (inner) (middle) ear
136,A18.7,Tuberculosis of adrenal glands
137,A18.8,Tuberculosis of other specified organs
138,A18.81,Tuberculosis of thyroid gland
139,A18.82,Tuberculosis of other endocrine glands
140,A18.83,Tuberculosis of digestive tract organs and not elsewhere classified
141,A18.84,Tuberculosis of heart
142,A18.85,Tuberculosis of spleen
143,A18.89,Tuberculosis of other sites
144,A19,Miliary tuberculosis
145,A19.0,Acute miliary tuberculosis of a single specified site
146,A19.1,Acute miliary tuberculosis of multiple sites
147,A19.2,Acute miliary tuberculosis and unspecified
148,A19.8,Other miliary tuberculosis
149,A19.9,Miliary tuberculosis and unspecified
150,A20,Plague
151,A20.0,Bubonic plague
152,A20.1,Cellulocutaneous plague
153,A20.2,Pneumonic plague
154,A20.3,Plague meningitis
155,A20.7,Septicemic plague
156,A20.8,Other forms of plague
157,A20.9,Plague and unspecified
158,A21,Tularemia
159,A21.0,Ulceroglandular tularemia
160,A21.1,Oculoglandular tularemia
161,A21.2,Pulmonary tularemia
162,A21.3,Gastrointestinal tularemia
163,A21.7,Generalized tularemia
164,A21.8,Other forms of tularemia
165,A21.9,Tularemia and unspecified
166,A22,Anthrax
167,A22.0,Cutaneous anthrax
168,A22.1,Pulmonary anthrax
169,A22.2,Gastrointestinal anthrax
170,A22.7,Anthrax sepsis
171,A22.8,Other forms of anthrax
172,A22.9,Anthrax and unspecified
173,A23,Brucellosis
174,A23.0,Brucellosis due to Brucella melitensis
175,A23.1,Brucellosis due to Brucella abortus
