id,code,dosage,Name,
1,4,1%,PAREDRINE,
2,159,500MG,SULFAPYRIDINE,
3,552,20000 UNITS/ML,LIQUAEMIN SODIUM,
4,552,40000 UNITS/ML,LIQUAEMIN SODIUM,
5,552,5000 UNITS/ML,LIQUAEMIN SODIUM,
6,552,1000 UNITS/ML,LIQUAEMIN SODIUM,
7,552,10000 UNITS/ML,LIQUAEMIN SODIUM,
8,552,100 UNITS/ML,LIQUAEMIN LOCK FLUSH,
9,552,1000 UNITS/ML,HEPARIN SODIUM,
10,552,5000 UNITS/ML,HEPARIN SODIUM,
11,552,10000 UNITS/ML,HEPARIN SODIUM,
12,552,1000 UNITS/ML,LIQUAEMIN SODIUM PRESERVATIVE FREE,
13,552,5000 UNITS/ML,LIQUAEMIN SODIUM PRESERVATIVE FREE,
14,552,10000 UNITS/ML,LIQUAEMIN SODIUM PRESERVATIVE FREE,
15,734,EQ 1MG BASE/ML,HISTAMINE PHOSPHATE,
16,734,EQ 0.2MG BASE/ML,HISTAMINE PHOSPHATE,
17,734,EQ 0.1MG BASE/ML,HISTAMINE PHOSPHATE,
18,793,15MG,BUTISOL SODIUM,
19,793,50MG,BUTISOL SODIUM,
20,793,30MG,BUTISOL SODIUM,
21,793,100MG,BUTISOL SODIUM,
22,1104,5MG/ML,DOCA,
23,1546,125MG,GUANIDINE HYDROCHLORIDE,
24,2139,5MG,MENADIONE,
25,2245,65MG,PROLOID,
26,2245,325MG,PROLOID,
27,2245,32MG,PROLOID,
28,2245,200MG,PROLOID,
29,2245,100MG,PROLOID,
30,2245,16MG,PROLOID,
31,2245,130MG,PROLOID,
32,2282,100MG/ML,INULIN AND SODIUM CHLORIDE,
33,2386,100MG,AMINOPHYLLIN,
34,2386,200MG,AMINOPHYLLIN,
35,2918,33.32%,BENSULFOID,
36,3158,10MG,ORETON METHYL,
37,3158,25MG,ORETON METHYL,
38,3240,10MG,METANDREN,
39,3240,25MG,METANDREN,
40,3240,5MG,METANDREN,
41,3240,10MG,METANDREN,
42,3402,5PRESSOR UNITS/ML,PITRESSIN TANNATE,
43,3444,50000 IU,DRISDOL,
44,3718,5MG/ML,SYNKAYVITE,
45,3718,10MG/ML,SYNKAYVITE,
46,3718,37.5MG/ML,SYNKAYVITE,
47,3718,5MG,SYNKAYVITE,
48,3977,1MG/ML,THEELIN,
49,3977,2MG/ML,THEELIN,
50,3977,5MG/ML,THEELIN,
51,4039,0.1MG,DIETHYLSTILBESTROL,
52,4039,0.5MG,DIETHYLSTILBESTROL,
53,4039,1MG,DIETHYLSTILBESTROL,
54,4039,0.25MG,DIETHYLSTILBESTROL,
55,4039,5MG,DIETHYLSTILBESTROL,
56,4040,0.1MG,DIETHYLSTILBESTROL,
57,4040,0.5MG,DIETHYLSTILBESTROL,
58,4041,0.1MG,DIETHYLSTILBESTROL,
59,4041,0.5MG,DIETHYLSTILBESTROL,
60,4041,1MG,DIETHYLSTILBESTROL,
61,4041,5MG,DIETHYLSTILBESTROL,
62,4054,500MG,SULFADIAZINE,
63,4054,250MG/ML,SULFADIAZINE SODIUM,
64,4056,0.1MG,STILBESTROL,
65,4056,0.5MG,STILBESTROL,
66,4056,0.2MG/ML,STILBESTROL,
67,4056,0.5MG/ML,STILBESTROL,
68,4056,1MG/ML,STILBESTROL,
69,4056,5MG/ML,STILBESTROL,
70,4056,0.1MG,STILBETIN,
71,4056,0.5MG,STILBETIN,
72,4056,1MG,STILBETIN,
73,4056,5MG,STILBETIN,
74,4056,0.1MG,STILBETIN,
75,4056,0.5MG,STILBETIN,
76,4056,1MG,STILBETIN,
77,4056,5MG,STILBETIN,
78,4056,0.25MG,STILBETIN,
79,4122,500MG,SULFADIAZINE,
80,4125,300MG,SULFADIAZINE,
81,4570,1000 UNITS/ML,HEPARIN SODIUM,
82,4570,5000 UNITS/ML,HEPARIN SODIUM,
83,4570,10000 UNITS/ML,HEPARIN SODIUM,
84,4589,5ML/100ML;5GM/100ML,ALCOHOL 5% AND DEXTROSE 5%,
85,4589,10ML/100ML;5GM/100ML,ALCOHOL 10% AND DEXTROSE 5%,
86,4782,1.25MG,PREMARIN,
87,4782,2.5MG,PREMARIN,
88,4782,0.3MG,PREMARIN,
89,4782,0.625MG,PREMARIN,
90,4782,0.9MG,PREMARIN,
91,4782,0.45MG,PREMARIN,
92,5010,50MG,DEMEROL,
93,5010,50MG/ML,DEMEROL,
94,5010,100MG/ML,DEMEROL,
95,5010,100MG,DEMEROL,
96,5010,50MG/5ML,DEMEROL,
97,5010,25MG/ML,DEMEROL,
98,5010,75MG/ML,DEMEROL,
99,5151,125MG,PERCORTEN,
100,5213,1.5MG;5MG,HYCODAN,
101,5213,1.5MG/5ML;5MG/5ML,HYCODAN,
102,5264,1000 UNITS/ML,PANHEPRIN,
103,5264,5000 UNITS/ML,PANHEPRIN,
104,5264,10000 UNITS/ML,PANHEPRIN,
105,5264,20000 UNITS/ML,PANHEPRIN,
106,5264,40000 UNITS/ML,PANHEPRIN,
107,5264,100 UNITS/ML,HEPARIN LOCK FLUSH,
108,5264,2000 UNITS/ML,HEPARIN SODIUM PRESERVATIVE FREE,
109,5264,2500 UNITS/ML,HEPARIN SODIUM PRESERVATIVE FREE,
110,5292,0.02MG,ESTINYL,
111,5292,0.05MG,ESTINYL,
112,5292,0.5MG,ESTINYL,
113,5319,100%,PANTOPAQUE,
114,5378,5MG,DESOXYN,
115,5378,10MG,DESOXYN,
116,5378,5MG,DESOXYN,
117,5378,15MG,DESOXYN,
118,5490,0.05MG,LYNORAL,
119,5490,0.01MG,LYNORAL,
120,5509,50MG,DICUMAROL,
121,5509,25MG,DICUMAROL,
122,5521,1000 UNITS/ML,HEPARIN SODIUM,
123,5521,10000 UNITS/ML,HEPARIN SODIUM,
124,5521,20000 UNITS/ML,HEPARIN SODIUM,
125,5545,25MG,DICUMAROL,
126,5545,50MG,DICUMAROL,
127,5545,100MG,DICUMAROL,
128,5619,20%,AMINOHIPPURATE SODIUM,
129,5620,12.5GM/50ML,MANNITOL 25%,
130,5657,3MG/ML,TUBOCURARINE CHLORIDE,
131,5691,130CSR UNIT,VERTAVIS,
132,5725,10MG/ML,KAPPADIONE,
133,5794,2.86%;3.42%;3.7%,SULTRIN,
134,5794,143.75MG;172.5MG;184MG,SULTRIN,
135,5795,0.2%,FURACIN,
136,5845,50MG,BENADRYL,
137,5845,12.5MG/5ML,BENADRYL,
138,5845,25MG,BENADRYL,
139,5856,200MG/5ML,TRIDIONE,
140,5856,300MG,TRIDIONE,
141,5856,150MG,TRIDIONE,
142,5897,1MG,FOLVITE,
143,5897,5MG/ML,FOLVITE,
144,5914,50MG,PBZ,
145,5914,EQ 25MG HCL/5ML,PBZ,
146,5929,1MG/ML,D.H.E. 45,
147,5932,5%,AMINOSOL 5%,
148,5939,10%,BAL,
149,5963,10%,SODIUM SULAMYD,
150,5963,10%,SODIUM SULAMYD,
151,5963,30%,SODIUM SULAMYD,
152,5970,1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,SOTRADECOL,
153,5970,3% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,SOTRADECOL,
154,6002,EQ 300MG BASE,ARALEN,
155,6002,EQ 40MG BASE/ML,ARALEN HYDROCHLORIDE,
156,6008,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,MESANTOIN,
