id,code,description
1,C38192:NCI,AURICULAR (OTIC),
2,C38193:NCI,BUCCAL,
3,C38194:NCI,CONJUNCTIVAL,
4,C38675:NCI,CUTANEOUS,
5,C38197:NCI,DENTAL,
6,C38633:NCI,ELECTRO-OSMOSIS,
7,C38205:NCI,ENDOCERVICAL,
8,C38206:NCI,ENDOSINUSIAL,
9,C38208:NCI,ENDOTRACHEAL,
10,C38209:NCI,ENTERAL,
11,C38210:NCI,EPIDURAL,
12,C38211:NCI,EXTRA-AMNIOTIC,
13,C38212:NCI,EXTRACORPOREAL,
14,C38200:NCI,HEMODIALYSIS,
15,C38215:NCI,INFILTRATION,
16,C38219:NCI,INTERSTITIAL,
17,C38220:NCI,INTRA-ABDOMINAL,
18,C38221:NCI,INTRA-AMNIOTIC,
19,C38222:NCI,INTRA-ARTERIAL,
20,C38223:NCI,INTRA-ARTICULAR,
21,C38224:NCI,INTRABILIARY,
22,C38225:NCI,INTRABRONCHIAL,
23,C38226:NCI,INTRABURSAL,
24,C38227:NCI,INTRACARDIAC,
25,C38228:NCI,INTRACARTILAGINOUS,
26,C38229:NCI,INTRACAUDAL,
27,C38230:NCI,INTRACAVERNOUS,
28,C38231:NCI,INTRACAVITARY,
29,C38232:NCI,INTRACEREBRAL,
30,C38233:NCI,INTRACISTERNAL,
31,C38234:NCI,INTRACORNEAL,
32,C38217:NCI,INTRACORONAL, DENTAL,
33,C38218:NCI,INTRACORONARY,
34,C38235:NCI,INTRACORPORUS CAVERNOSUM,
35,C38236:NCI,INTRACRANIAL,
36,C38238:NCI,INTRADERMAL,
37,C38239:NCI,INTRADISCAL,
38,C38240:NCI,INTRADUCTAL,
39,C38241:NCI,INTRADUODENAL,
40,C38242:NCI,INTRADURAL,
41,C79144:NCI,INTRAEPICARDIAL,
42,C38243:NCI,INTRAEPIDERMAL,
43,C38245:NCI,INTRAESOPHAGEAL,
44,C38246:NCI,INTRAGASTRIC,
45,C38247:NCI,INTRAGINGIVAL,
46,C38248:NCI,INTRAHEPATIC,
47,C38249:NCI,INTRAILEAL,
48,C38250:NCI,INTRALESIONAL,
49,C79138:NCI,INTRALINGUAL,
50,C38251:NCI,INTRALUMINAL,
51,C38252:NCI,INTRALYMPHATIC,
52,C79137:NCI,INTRAMAMMARY,
53,C38253:NCI,INTRAMEDULLARY,
54,C38254:NCI,INTRAMENINGEAL,
55,C28161:NCI,INTRAMUSCULAR,
56,C79141:NCI,INTRANODAL,
57,C38255:NCI,INTRAOCULAR,
58,C79142:NCI,INTRAOMENTUM,
59,C38256:NCI,INTRAOVARIAN,
60,C38257:NCI,INTRAPERICARDIAL,
61,C38258:NCI,INTRAPERITONEAL,
62,C38259:NCI,INTRAPLEURAL,
63,C38260:NCI,INTRAPROSTATIC,
64,C38261:NCI,INTRAPULMONARY,
65,C79139:NCI,INTRARUMINAL,
66,C38262:NCI,INTRASINAL,
67,C38263:NCI,INTRASPINAL,
68,C38264:NCI,INTRASYNOVIAL,
69,C38265:NCI,INTRATENDINOUS,
70,C38266:NCI,INTRATESTICULAR,
71,C38267:NCI,INTRATHECAL,
72,C38207:NCI,INTRATHORACIC,
73,C38268:NCI,INTRATUBULAR,
74,C38269:NCI,INTRATUMOR,
75,C38270:NCI,INTRATYMPANIC,
76,C38272:NCI,INTRAUTERINE,
77,C38273:NCI,INTRAVASCULAR,
78,C38276:NCI,INTRAVENOUS,
79,C38277:NCI,INTRAVENTRICULAR,
80,C38278:NCI,INTRAVESICAL,
81,C38280:NCI,INTRAVITREAL,
82,C38203:NCI,IONTOPHORESIS,
83,C38281:NCI,IRRIGATION,
84,C38282:NCI,LARYNGEAL,
85,C38284:NCI,NASAL,
86,C38285:NCI,NASOGASTRIC,
87,C48623:NCI,NOT APPLICABLE,
88,C38286:NCI,OCCLUSIVE DRESSING TECHNIQUE,
89,C38287:NCI,OPHTHALMIC,
90,C38288:NCI,ORAL,
91,C38289:NCI,OROPHARYNGEAL,
92,C38291:NCI,PARENTERAL,
93,C38676:NCI,PERCUTANEOUS,
94,C38292:NCI,PERIARTICULAR,
95,C38677:NCI,PERIDURAL,
96,C38293:NCI,PERINEURAL,
97,C38294:NCI,PERIODONTAL,
98,C38295:NCI,RECTAL,
99,C38216:NCI,RESPIRATORY (INHALATION),
100,C38296:NCI,RETROBULBAR,
101,C38198:NCI,SOFT TISSUE,
102,C38297:NCI,SUBARACHNOID,
103,C38298:NCI,SUBCONJUNCTIVAL,
104,C38299:NCI,SUBCUTANEOUS,
105,C65103:NCI,SUBGINGIVAL,
106,C38300:NCI,SUBLINGUAL,
107,C38301:NCI,SUBMUCOSAL,
108,C79143:NCI,SUBRETINAL,
109,C38304:NCI,TOPICAL,
110,C38305:NCI,TRANSDERMAL,
111,C79145:NCI,TRANSENDOCARDIAL,
112,C38283:NCI,TRANSMUCOSAL,
113,C38307:NCI,TRANSPLACENTAL,
114,C38308:NCI,TRANSTRACHEAL,
115,C38309:NCI,TRANSTYMPANIC,
116,C38312:NCI,URETERAL,
117,C38271:NCI,URETHRAL,
118,C38313:NCI,VAGINAL
