ID,CODE,DESCRIPTION,
1,64490-6,Has your snoring ever bothered other people [PhenX],
2,40495-4,Yersinia pseudotuberculosis 3 Ab [Titer] in Serum,
3,38650-8,Chloromethyl methyl ether [Mass/volume] in Air,
4,3817-4,Metoprolol [Mass/volume] in Urine,
5,26952-2,Phoma herbarum IgG Ab [Mass/volume] in Serum,
6,59341-8,Stiripentol [Mass/volume] in Urine,
7,71354-5,Edinburgh Postnatal Depression Scale [EPDS],
8,15825-3,Lycopodium spp IgE Ab RAST class [Presence] in Serum,
9,5147-4,Echovirus 9 Ab [Titer] in Serum by Complement fixation,
10,60526-1,Pseudo Pelger Huet cells [Presence] in Blood by Light microscopy,
11,27479-5,Alcohol-substance abuse rehabilitation treatment plan and/or Author name,
12,50054-6,Hemicystine/Creatinine [Molar ratio] in Urine,
13,17634-7,Deprecated Streptococcus pneumoniae 4 Ab [Units/volume] in Serum --2nd specimen,
14,51124-6,CD22 blasts/100 blasts in Bone marrow,
15,58001-9,Matrix metallopeptidase 9 [Mass/volume] in Blood,
16,46792-8,Circulation Behavior Community [OMAHA],
17,14309-9,Amphetamines [Presence] in Urine by Confirm method >200 ng/mL,
18,928-2,Blood product reaction [Type],
19,33582-8,CD13+CD33+ cells [#/volume] in Blood,
20,73843-5,Tetrahydrodeoxycortisol [Moles/time] in 24 hour Urine,
21,40190-1,Glucose [Moles/volume] in Serum or Plasma --22 hours post XXX challenge,
22,742-7,Monocytes [#/volume] in Blood by Automated count,
23,59019-0,HLA-DQA1 [Type] by High resolution,
24,20125-1,Ventilator type,
25,63209-1,English Plantain IgG Ab [Mass/volume] in Serum,
26,1015-7,Ew Ag [Presence] on Red Blood Cells,
27,72357-7,Microscopic observation [Presence] in Unspecified specimen by Acid fast stain,
28,73347-7,Hydrocodone+Acetaminophen induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
29,64688-5,Over the past 4W how much have you enjoyed sexual intercourse [PhenX],
30,14577-1,ABO + Rh group [Type] in Blood from donor,
31,44596-5,IgG Ag [Presence] in Skin by Immunofluorescence,
32,66201-5,Coefficient of variation for the assay [#] [PhenX],
33,64890-7,Can you read the ordinary print in the newspaper reasonably well and/or with or without glasses [PhenX],
34,40789-0,Japanese hop IgE Ab [Units/volume] in Serum,
35,53823-1,Panipenem [Susceptibility] by Minimum inhibitory concentration (MIC),
36,73754-4,Adenovirus C DNA [Presence] in Nasopharynx by Probe and target amplification method,
37,32338-6,Pyruvate [Moles/volume] in Serum or Plasma,
38,58279-1,Pulmonary embolism diagnosis category,
39,7305-6,Endive IgG Ab [Units/volume] in Serum,
40,47676-2,Isoleucine/Amino acids.total in Dried blood spot,
41,25715-4,Litchi IgE Ab RAST class [Presence] in Serum,
42,49110-0,Mycoplasma sp identified in Urine by Organism specific culture,
43,61304-2,Cottonwood IgE Ab [Ratio] in Serum,
44,30410-5,Leukocytes other/100 leukocytes in Synovial fluid,
45,56710-7,Clarithromycin IgE Ab [Units/volume] in Serum,
46,27167-6,Chlamydia trachomatis IgM Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,
47,14409-7,Aspartate aminotransferase [Enzymatic activity/volume] in Pleural fluid,
48,59543-9,Inpatient status Cancer,
49,9809-5,Propoxyphene [Presence] in Gastric fluid,
50,32692-6,Anaplasma phagocytophilum IgM Ab [Titer] in Serum,
51,22399-0,Legionella sp Ab [Titer] in Serum,
52,66793-1,How well can you prevent becoming nervous [PhenX],
53,54273-8,Glucose [Moles/volume] in Serum or Plasma --3 hours post dose ornithine alpha-ketoglutarate,
54,2436-4,Homovanillate [Mass/time] in 24 hour Urine,
55,65057-2,Other people frequently tell him or her that what your child has said is impolite and/or even though your child thinks it is polite [PhenX],
56,23170-4,Leptospira interrogans sv Bataviae Ab [Presence] in Serum,
57,47314-0,Influenza virus B IgG Ab [Units/volume] in Serum by Immunoassay,
58,75045-5,Sialate [Moles/volume] in Amniotic fluid,
59,66146-2,Reticulocytes [#/volume] in Blood from Fetus by Manual,
60,44936-3,Thyrotropin [Units/volume] in Serum or Plasma --15 minutes pre dose TRH IV,
61,19673-3,Phenothiazines cutoff [Mass/volume] in Urine for Confirmatory method,
62,48731-4,Complement C4 [Presence] in Serum or Plasma,
63,37982-6,Avian paramyxovirus [Presence] in Unspecified specimen by Organism specific culture,
64,9221-3,Output.stool 12 hour,
