id,code,description
1,109006,Anxiety disorder of childhood OR adolescence
2,122003,Choroidal hemorrhage
3,127009,Spontaneous abortion with laceration of cervix
4,129007,Homoiothermia
5,134006,Decreased hair growth
6,140004,Chronic pharyngitis
7,144008,Normal peripheral vision
8,147001,Superficial foreign body of scrotum without major open wound but with infection
9,150003,Abnormal bladder continence
10,151004,Gonococcal meningitis
11,162004,Severe manic bipolar I disorder without psychotic features
12,165002,Accident-prone
13,168000,Typhlolithiasis
14,171008,Injury of ascending right colon without open wound into abdominal cavity
15,172001,Endometritis following molar AND/OR ectopic pregnancy
16,175004,Supraorbital neuralgia
17,177007,Poisoning by sawfly larvae
18,179005,Apraxia of dressing
19,181007,Hemorrhagic bronchopneumonia
20,183005,Autoimmune pancytopenia
21,184004,Withdrawal arrhythmia
22,188001,Injury of intercostal artery
23,192008,Congenital syphilitic hepatomegaly
24,193003,Benign hypertensive renal disease
25,195005,Illegal abortion with endometritis
26,198007,Disease due to Filoviridae
27,199004,Decreased lactation
28,208008,Neurocutaneous melanosis sequence
29,216004,Delusion of persecution
30,219006,Alcohol user
31,222008,Acute epiglottitis with obstruction
32,223003,Tumor of body of uterus affecting pregnancy
33,228007,Lucio phenomenon
34,241006,Epilepsia partialis continua
35,242004,Noninfectious jejunitis
36,253005,Sycosis
37,257006,Acne rosacea and erythematous telangiectatic type
38,258001,Pseudoknuckle pad
39,264008,Blind hypertensive eye
40,276008,Poisoning by oxytocin
41,279001,Senile myocarditis
42,281004,Dementia associated with alcoholism
43,282006,Acute myocardial infarction of basal-lateral wall
44,290006,Melnick-Fraser syndrome
45,292003,EEG finding
46,297009,Acute myringitis
47,299007,Paraffinoma of skin
48,303002,Apoplectic pancreatitis
49,308006,Pearly penile papules
50,310008,Boil of penis
51,313005,Déjà vu
52,317006,Reactive hypoglycemia
53,320003,Cervical dilatation,1cm
54,324007,Plaster ulcer
55,330007,Occipital headache
56,335002,Pylorospasm
57,341009,ABO incompatibility reaction
58,349006,Absent tendon reflex
59,355001,Hemorrhagic shock
60,357009,Closed fracture of trapezoidal bone of wrist
61,358004,Poisoning by smallpox vaccine
62,359007,Kernicterus due to isoimmunization
63,360002,Acute radiation disease
64,364006,Acute left-sided heart failure
65,366008,Hidromeiosis
66,368009,Heart valve disorder
67,369001,Normal jugular venous pressure
68,378007,Morquio syndrome
69,382009,Legal history finding relating to child
70,383004,Passive range of hip extension - finding
71,385006,Secondary peripheral neuropathy
72,387003,Melanuria
73,398002,Left axis deviation greater than -90 degrees by EKG
74,407000,Congenital hepatomegaly
75,408005,Tooth chattering
76,409002,Food allergy diet
77,426008,Superficial injury of ankle without infection
78,431005,Hypertrophy of scrotum
79,437009,Abnormal composition of urine
80,440009,Persistent hyperphenylalaninemia
81,442001,Secondary hypopituitarism
82,443006,Cystocele affecting pregnancy
83,447007,Coach in sports activity accident
84,450005,Ulcerative stomatitis
85,452002,Blister of groin without infection
86,460001,Squamous metaplasia of prostate gland
87,467003,Old laceration of muscles of pelvic floor
88,470004,Vitreous touch syndrome
89,479003,Graves' disease with pretibial myxedema AND with thyrotoxic crisis
90,486006,Acute vascular insufficiency
91,488007,Fibroid myocarditis
92,490008,Upper respiratory tract hypersensitivity reaction
93,496002,Closed traumatic dislocation of third cervical vertebra
94,504009,Androgen-dependent hirsutism
95,517007,Foreign body in hypopharynx
96,518002,Multiple aggregation
97,520004,Congenital bent nose
98,527001,Spontaneous fetal evolution and Roederer's method
99,536002,Glissonian cirrhosis
100,539009,Conjunctival argyrosis
101,547009,Hypersecretion of calcitonin
102,548004,13p partial trisomy syndrome
103,554003,2p partial trisomy syndrome
104,555002,Dicentra species poisoning
105,563001,Nystagmus
106,568005,Tic disorder
107,586008,Contact dermatitis due to primrose
108,590005,Congenital aneurysm of anterior communicating artery
109,596004,Premenstrual dysphoric disorder
110,599006,Chronic pneumothorax
111,600009,Pyromania
112,602001,Ross river fever
113,607007,Decreased vital capacity
114,610000,Spastic aphonia
115,613003,Fragile X syndrome
116,615005,Obstruction due to foreign body accidentally left in operative wound AND/OR body cavity during a procedure
117,616006,Sensorimotor disorder of eyelid
118,626004,Hypercortisolism due to nonpituitary tumor
119,631002,Transfusion reaction due to minor incompatibility
120,634005,Saddle boil
121,640003,Injury of pneumogastric nerve
122,643001,Hypertrophy of lip
123,646009,Idiopathic cyst of anterior chamber
124,649002,Open fracture of distal end of ulna
125,651003,Root work
126,652005,Gangrenous tonsillitis
