id,code,description
1,64490-6,Has your snoring ever bothered other people [PhenX],
2,40495-4,Yersinia pseudotuberculosis 3 Ab [Titer] in Serum,
3,38650-8,Chloromethyl methyl ether [Mass/volume] in Air,
4,3817-4,Metoprolol [Mass/volume] in Urine,
5,26952-2,Phoma herbarum IgG Ab [Mass/volume] in Serum,
6,59341-8,Stiripentol [Mass/volume] in Urine,
7,71354-5,Edinburgh Postnatal Depression Scale [EPDS],
8,15825-3,Lycopodium spp IgE Ab RAST class [Presence] in Serum,
9,5147-4,Echovirus 9 Ab [Titer] in Serum by Complement fixation,
10,60526-1,Pseudo Pelger Huet cells [Presence] in Blood by Light microscopy,
11,27479-5,Alcohol-substance abuse rehabilitation treatment plan or Author name,
12,50054-6,Hemicystine/Creatinine [Molar ratio] in Urine,
13,17634-7,Deprecated Streptococcus pneumoniae 4 Ab [Units/volume] in Serum --2nd specimen,
14,51124-6,CD22 blasts/100 blasts in Bone marrow,
15,58001-9,Matrix metallopeptidase 9 [Mass/volume] in Blood,
16,46792-8,Circulation Behavior Community [OMAHA],
17,14309-9,Amphetamines [Presence] in Urine by Confirm method >200 ng/mL,
18,928-2,Blood product reaction [Type],
19,33582-8,CD13+CD33+ cells [#/volume] in Blood,
20,73843-5,Tetrahydrodeoxycortisol [Moles/time] in 24 hour Urine,
21,40190-1,Glucose [Moles/volume] in Serum or Plasma --22 hours post XXX challenge,
22,742-7,Monocytes [#/volume] in Blood by Automated count,
23,39634-1,Brain Scan static limited,
24,59019-0,HLA-DQA1 [Type] by High resolution,
25,20125-1,Ventilator type,
26,63209-1,English Plantain IgG Ab [Mass/volume] in Serum,
27,1015-7,Ew Ag [Presence] on Red Blood Cells,
28,72357-7,Microscopic observation [Presence] in Unspecified specimen by Acid fast stain,
29,73347-7,Hydrocodone+Acetaminophen induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
30,64688-5,Over the past 4W how much have you enjoyed sexual intercourse [PhenX],
31,14577-1,ABO + Rh group [Type] in Blood from donor,
32,44596-5,IgG Ag [Presence] in Skin by Immunofluorescence,
33,66201-5,Coefficient of variation for the assay [#] [PhenX],
34,64890-7,Can you read the ordinary print in the newspaper reasonably well or with or without glasses [PhenX],
35,40789-0,Japanese hop IgE Ab [Units/volume] in Serum,
36,43570-1,Hand X-ray portable,
37,53823-1,Panipenem [Susceptibility] by Minimum inhibitory concentration (MIC),
38,73754-4,Adenovirus C DNA [Presence] in Nasopharynx by Probe and target amplification method,
39,32338-6,Pyruvate [Moles/volume] in Serum or Plasma,
40,58279-1,Pulmonary embolism diagnosis category,
41,7305-6,Endive IgG Ab [Units/volume] in Serum,
42,47676-2,Isoleucine/Amino acids.total in Dried blood spot,
43,25715-4,Litchi IgE Ab RAST class [Presence] in Serum,
44,42697-3,Lower leg - bilateral MRI W and WO contrast IV,
45,49110-0,Mycoplasma sp identified in Urine by Organism specific culture,
46,61304-2,Cottonwood IgE Ab [Ratio] in Serum,
47,30410-5,Leukocytes other/100 leukocytes in Synovial fluid,
48,56710-7,Clarithromycin IgE Ab [Units/volume] in Serum,
49,27167-6,Chlamydia trachomatis IgM Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,
50,14409-7,Aspartate aminotransferase [Enzymatic activity/volume] in Pleural fluid,
51,59543-9,Inpatient status Cancer,
52,9809-5,Propoxyphene [Presence] in Gastric fluid,
53,32692-6,Anaplasma phagocytophilum IgM Ab [Titer] in Serum,
54,22399-0,Legionella sp Ab [Titer] in Serum,
55,66793-1,How well can you prevent becoming nervous [PhenX],
56,54273-8,Glucose [Moles/volume] in Serum or Plasma --3 hours post dose ornithine alpha-ketoglutarate,
57,44233-5,Kidney - bilateral Scan W and WO Tc-99m DTPA IV,
58,2436-4,Homovanillate [Mass/time] in 24 hour Urine,
59,65057-2,Other people frequently tell him or her that what your child has said is impolite or even though your child thinks it is polite [PhenX],
60,23170-4,Leptospira interrogans sv Bataviae Ab [Presence] in Serum,
61,47314-0,Influenza virus B IgG Ab [Units/volume] in Serum by Immunoassay,
62,75045-5,Sialate [Moles/volume] in Amniotic fluid,
63,66146-2,Reticulocytes [#/volume] in Blood from Fetus by Manual,
64,44936-3,Thyrotropin [Units/volume] in Serum or Plasma --15 minutes pre dose TRH IV,
65,19673-3,Phenothiazines cutoff [Mass/volume] in Urine for Confirmatory method,
